Food name,Energy(kJ),Energy(kcal) ,Water(g),Protein(g),Fat(g),Carbohydrate available(g) ,Fibre(g),Ash(g),Ca(mg),Fe(mg),Mg(mg),P(mg),K(mg),Na(mg),Zn(mg),Se(mcg),Vit A-RAE(mcg),Vit A-RE(mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin(mg) ,Riboflavin(mg) ,Niacin(mg),Dietary Folate Eq.(mcg),Food folate (mcg),Vit B12(mcg) ,Vit C(mg),Cholesterol (mg),Oxalic acid OXALAC(mg),Phytate(mg) ,IP3 (mg),IP4 (mg),IP5 (mg),IP6 (mg),Isoleucin(mg),Leucine(mg),Lysine(mg),Methionine(mg),Cystine(mg),Phenylalanine(mg),Tyrosine(mg),Threonine(mg),Tryptophan(mg),Valine(mg),Arginine(mg),Histidine(mg),Alanine(mg),Aspartic acid(mg),Glutamic acid(mg),Glycine(mg),Proline(mg),Serine(mg),"Fatty acids, total (standardized)","Fatty acids, total, own calculation (g)_own","Fatty acids, total (from source)(g)_from source",Sum of individual FA(g)(standardized),"fatty acids, total saturated (standardized)","fatty acids, total monounsaturated (standardized)(g)","fatty acids, total polyunsaturated (standardized)(g)","fatty acids, total trans (standardized)(g)","other fatty acids, not specifiied (standardized)","fatty acids, total saturated (own calculation)","fatty acids, total monounsaturated (own calculation)","fatty acids, total polyunsaturated (own calculation)","fatty acids, total trans (own calculation)","other fatty acids, not specifiied (own calculation)","fatty acids, total saturated","fatty acids, total monounsaturated","fatty acids, total polyunsaturated","fatty acids, total trans (from source)","other fatty acids, not specifiied (from source)","Sum of polyunsaturated FA, n-3 (standardized)","Sum of polyunsaturated FA, n-6 (standardized)"
"Shark, steamed (without salt)",479,113,69.2,26,1,0,0,1.4,10,0.4,33,269,336,65,0.55,31,1,0,1,0,0.03,0.03,2.3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shark, grilled (without salt and fat)",517,122,66.8,28.1,1.1,0,0,1.5,11,0.4,38,307,411,70,0.6,38,1,0,1,0,0.04,0.05,3.1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shark, boiled in recipe (without salt and fat)",479,113,69.2,26,1,0,0,1.4,10,0.5,39,316,448,77,0.55,35,1,0,1,0,0.03,0.05,3.1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tuna, raw",500,118,68.9,25,2,0,0,1.5,5,0.8,41,266,379,50,0.46,73,18,18,18,0,0.16,0.15,16.3,3,3,4.6,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tuna, steamed (without salt)",625,148,61.1,31.2,2.5,0,0,1.8,7,0.8,44,283,355,53,0.57,83,20,0,20,0,0.15,0.13,14.3,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tuna, grilled (without salt and fat)",675,160,57.9,33.8,2.7,0,0,2,7,1,50,324,435,57,0.62,99,22,0,22,0,0.2,0.18,19.9,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tuna, boiled in recipe (without salt and fat)",625,148,61.1,31.2,2.5,0,0,1.8,7,1,52,333,474,63,0.57,92,20,0,20,0,0.17,0.18,19.4,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animal fat/ lard,3660,890,1,0,99,0,0,0.3,1,0.1,0,3,1,2,0.11,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corn oil,3700,900,0,0,99.9,0.1,0,0,0,0,0,0,0,0,0.01,0,6,6,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.54,0,0,95.54,15.1,33.9,42.5,4.02,0.02,0,0,0,0,0,0,0,0,0,0,0.37,42.1
Fish liver oil,3700,900,0,0,100,0,0,0,0,0,0,0,0,0,0,0,30000,30000,30000,0,0,0,0,0,0,0,0,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Margarine,20% fat",728,177,78.8,0,19.5,0.4,0,1.3,0,0,1,14,25,733,0,0,819,870,768,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Margarine,60% fat",2230,541,37.7,0.3,59.8,0.5,0,1.7,21,0,2,16,30,700,0,0,819,870,768,610,0.01,0.03,0,1,1,3.65,0.1,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Margarine,80% fat",3070,748,15,0.1,83,0,0,1.9,10,0,2,10,5,300,0,0,819,870,768,610,0,0,0,1,1,0.06,0.15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mustard seed oil,3700,900,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olive oil,3700,900,0,0,100,0,0,0,0,0,0,1,0,0,0.01,0,1,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peanut oil,3700,900,0,0,100,0,0,0,0,0.1,1,3,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red palm oil,3660,891,1,0,99,0,0,0.1,6,0,0,7,0,0,0,0,5490,11000,0,65800,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shortening, commercial, vegetable fat ",3700,900,0,0.1,100,0,0,0,1,0,0,0,1,1,0.02,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soya bean oil,3700,900,0,0,100,0,0,0,0,0,0,0,0,0,0,0,3,3,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.55,0,0,95.55,15.8,24.4,50.7,4.7,0,0,0,0,0,0,0,0,0,0,0,4.08,46.6
Sun flower oil,3700,900,0,0,100,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bambara groundnuts, dried, raw",1340,321,9.5,18.1,6,34.6,28.2,3.6,39,3.3,166,190,1330,2,1.81,0,0,0,0,0,0.04,0.07,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coconut, fresh, mature fruit, flesh",1740,423,37.1,4.4,39,8.5,10.1,1,18,2.3,47,146,125,29,0.73,3,0,0,0,0,0.08,0.08,1,14,14,0,2.6,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coconut, fresh, young or immature, flesh",736,176,68,2,10.8,17.3,1,0.9,34.7,1.2,35,56,266,12,0.42,4,0,0,0,0,0.03,0.6,1.2,20,20,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coconut meat, dried (desiccated)",2730,663,4.3,6.7,63.7,7.6,16.1,1.6,25.7,2.7,88.8,210,536,36.5,2,3,0,0,0,0,0.08,0.1,0.6,9,9,0,2,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jack fruit, seed, mature, dry, raw",654,156,51.8,4.8,0.6,24.4,16.8,1.5,84,5.9,126,205,463,8,1.56,1,0,0,0,0,0.15,0.07,0.6,148,148,0,4.3,0,tr,245,0,0,0,0,420,495,212,53,31,445,480,450,85,435,172,96,160,500,730,395,395,302,0.57,0,0,0.57,0.26,0.12,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.17
"Mustard Seeds, Dry, Raw",2160,522,8.2,18.8,39.7,15.5,13.7,4.2,433,16,220,587,380,2,3.9,70,3,6,0,37,0.65,0.26,3.7,75,75,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nut, almond, with or without skin, raw, unsalted",2530,612,4.6,20.2,52.8,8.6,11,2.9,249,4.1,283,469,724,1,3.44,4,1,2,0,9,0.18,0.93,3.7,37,37,0,0.2,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nut, cashew, dry, raw, unsalted",2470,595,5.9,16.5,48,21.5,5.8,2.3,33,4.9,244,578,536,11,5.36,32,1,1,0,6,0.65,0.25,1.8,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nut, ground nut, with skin, unsalted, dry, raw",2450,593,5.9,20.1,48.4,15,8.3,2.3,117,5.5,225,232,630,1,2.24,12,0,1,0,4,0.85,0.14,15,110,110,0,0,0,14,589,0,0,0,0,983,1840,714,150,277,1330,1020,790,183,834,2760,607,1140,2420,4160,1740,877,1390,46.27,46.27,0,46.27,9.76,22.6,13.9,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0.05,13.9
"Nut, macadamia, raw, unsalted",2860,696,7.7,6.8,70.9,2,11.2,1.4,44,2.2,100,276,308,5,1.3,10,0,0,0,0,0.27,0.1,2,114,114,0,4.6,0,0,0,0,0,0,0,290,573,420,70,5,307,457,313,0,297,1080,210,370,750,2050,403,523,327,67.78,0,0,67.78,10.9,55.5,1.36,0.03,0,0,0,0,0,0,0,0,0,0,0,0.12,1.24
"Nut, pistachio, raw, unsalted",2450,591,4.2,21,48,13.8,10.1,3,116,4.8,132,503,1030,5,2.07,6,16,31,0,187,0.81,0.17,1.2,63,63,0,1.4,0,0,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peanut Butter,2450,593,5.9,20.1,48.4,15,8.3,2.3,117,5.5,225,232,630,1,2.24,12,0,1,0,4,0.85,0.14,15,110,110,0,0,0,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seed, pumpkin, hulled & dried, unsalted",2380,575,8,24.3,47.6,9.6,5.8,4.7,50,5.5,519,1140,796,19,7.24,9,19,38,0,228,0.33,0.16,1.6,56,56,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seed, sesame (sim sim) unsalted, dry, raw",2490,602,4.9,15.3,54.1,6.4,14.3,5,1430,9.7,333,803,322,7,1.72,21,0,1,0,5,1.01,0.34,5.1,103,103,0,0,0,22,0,0,0,0,0,833,1510,767,593,343,973,820,837,213,1130,2350,540,1020,1750,4060,1060,813,920,51.72,0,0,51.72,7.55,18.2,23.8,0.05,2.09,0,0,0,0,0,0,0,0,0,0,0.22,23.6
"Seed, sunflower, unsalted, dry, raw",2460,595,5.9,18.5,49.9,14.7,10.6,2.5,98,5,362,670,450,0,6,61,1,1,0,7,0.86,0.2,14.2,224,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Water Melon, Seed Kernel, Dry, Raw",2450,590,5,30,47.5,7.6,6,3.7,69,7.1,513,706,433,99,3.4,10,0,0,0,0,0.12,0.2,3.1,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honey, Raw  ",1370,322,19.2,0.4,0,80.1,0,0.3,11,0.6,3,4,74,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sugarcane, Juice, Raw  ",159,37,90.2,0.1,0.2,8.5,0.6,0.4,10,1.1,13,22,150,1,0.14,0,1,2,0,10.34,0.03,0.04,0.1,45,45,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sugar, white, granulated or lump",1700,400,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beef, broth",26,6,98.1,0.9,0.3,0,0,0.7,4,0,4,56,144,266,0.03,1,1,1,0.67,0,0.01,0.03,0.4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coconut, fresh, water",98,23,93.9,0.8,0.1,4.8,0,0.4,24,0.2,11,14,130,5,0.13,1,0,0,0,0,0.01,0.05,0.1,14,14,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coffee, instant, dry powder or granules",1310,311,3.1,16.1,1,50.4,20,9.9,145,3.9,350,320,3690,83,0.71,9,0,0,0,0,0,1,42.9,13,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drinking chocolate, powder",2260,541,1,4.4,30.9,60.4,2,1.4,60,2,98,128,591,120,1.55,3,61,62,60,9,0.03,0.15,0.5,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tea, chai, instant dry powder",1270,299,5.1,20.2,0,50.2,8.5,16,118,2.3,272,239,6040,72,1.7,15,0,0,0,1,0,0.99,10.8,103,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Water, tap",0,0,99.95,0,0,0,0,0.05,3,0,1,0,1,3,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wine, Red",306,74,88.4,0.2,0,1.8,0,0.3,8,0.3,11,16,89,10,0.07,1,0,0,0,0,0,0,0.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wine, White, Dry",313,76,88.7,0.1,0,0.7,0,0.2,8,0.5,8,12,54,14,0.08,1,0,0,0,0,0,0,0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wine, White, Sweet",391,94,84,0.2,0,5.4,0,0.2,10,0.6,9,16,81,20,0.08,1,0,0,0,0,0,0,0.1,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anise seed,1610,384,9.5,14.9,15.9,38.1,14.6,7,648,37,170,440,1440,16,5.3,5,16,32,0,0,0.34,0.29,3.1,10,10,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baking powder, dry powder",760,179,4.9,0.1,0.2,43.9,0.8,50.2,4280,9.7,34,8410,10200,8850,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baking soda (bicarbonate), dry powder",0,0,0.3,0,0,0,0,36.9,0,0,0,0,0,27400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bay leaf, dried",1480,353,5.4,7.6,8.4,48.7,26.3,3.6,832,43,120,112,530,23,3.7,3,309,618,0,3710,0.01,0.42,2,180,180,0,46.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cardamom, seeds, ground",1350,322,8.3,8.5,6.7,42.4,28,5.5,383,14,215,165,1120,18,7.47,1,0,0,0,0,0.21,0.18,1.1,4,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chilli, fresh, raw",188,45,85.7,1.2,0.4,6.9,4.8,1.2,15,1.2,30,51,320,3,0.27,1,45,91,0,545,0.09,0.11,0.9,23,23,0,94.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chilli, dried",1280,309,12.6,13.9,9.9,25.5,31.2,7,142,6.2,175,274,2250,19,1.66,19,195,390,0,2342,0.95,0.43,6.9,52,52,0,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cinnamon, dried, ground",1010,244,13.1,2.8,2.6,26.3,52.3,2.9,1183,8.3,54,21,482,17,2,3,3,7,0,39,0.02,0.07,1.3,28,28,0,27.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cloves, dry, raw",1040,251,27.6,6,10.4,16,34.5,5.4,536,14.2,253,86,877,183,1.13,8,6,13,0,78,0.08,0.13,1.2,20,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coconut, Milk",579,140,82.4,1,14.3,1.8,0.3,0.3,5,0.5,10,43,131,19,0.26,2,0,0,0,0,0.02,0.01,0,14,14,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coriander Leaves, fresh, raw",241,57,81.9,3.3,0.7,7.7,3.5,2.9,115,6.6,45,44,578,40,0.54,1,317,635,0,3810,0.3,0.1,0.9,62,62,0,35.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coriander seed, dried, ground",1430,347,10.7,13.4,18.8,10.1,41.7,5.3,613,20.1,245,347,1189,27,3.6,24.9,10,20,0,122,0.22,0.35,3.4,86,86,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cumin seeds, dried, raw",1790,432,8.7,13.7,25.8,26.1,20.4,5.3,854,38.4,330,308,1213,124,4.05,5,44,88,0,527,0.55,0.19,3.2,90,90,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Curry leaves, fresh, raw",355,86,66.9,7.7,1.3,2.5,16.8,4.9,740,6.9,201,70,584,19,1.18,17,645,1290,0,7740,0.08,0.17,1.6,94,94,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curry powder,1430,344,10,10.8,13.8,30.6,27.2,7.6,479,34.3,333,301,1728,52,4.08,17,80,161,0,965,0.25,0.28,3.5,56,56,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fenugreek leaves, fresh, raw",158,38,87.3,4.4,0.2,2.2,4.9,1,185,7.8,61,48,96,66,0.54,4,609,1220,0,7300,0.12,0.26,1.2,75,75,0,80.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fenugreek seeds, raw",1290,309,9.8,21.4,6.4,23.4,36.1,3,160,14.1,183,370,530,48,2.93,8,8,15,0,91,0.34,0.29,1.5,57,57,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garam masala,1530,368,10.1,15.6,15.1,31,22.6,5.6,760,32.6,330,390,1450,97,3.8,17,28,57,0,340,0.35,0.33,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Garlic, peeled or unpeeled, fresh, raw",638,152,62,6.3,2.8,22.7,5.2,1,30,1.3,25,39,510,8,1,14,0,0,0,0,0.23,0.4,0.8,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ginger, dried, ground",1400,332,9.9,6.9,4.5,59.4,12.9,6.3,152,24.3,335,310,1225,50,3.72,55,80,161,0,965,0.16,0.27,3.5,88,88,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Green Ginger (Mature), fresh, raw",374,89,73.6,2.6,1.1,13.4,7.7,1.7,46.8,1.9,38,93.7,661,18,1,2,3,6,0,35,0.03,0.06,2.5,30,30,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mint Leaves, fresh, raw",182,44,84.9,4.8,1.1,0.1,7.2,1.9,200,3.6,34,62,380,28,0.8,1,62,123,0,740,0.15,0.09,1.7,114,114,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Onion, mature, red skinned, peeled, fresh, raw",177,42,87.9,1.5,0.1,7.6,2.3,0.6,26,0.9,19,40,152,5,0.16,1,1,2,0,10,0.02,0.04,0.3,14,14,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Onion, spring, raw",130,31,90.8,1.8,0.3,4.1,2.3,0.7,44,1.3,14,34,225,12,0.3,1,53,105,0,632,0.04,0.06,0.6,48,48,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parsley, fresh, raw",220,52,81.4,5.9,0.2,4.2,5.1,3.2,390,5.06,35,175,1290,54,0.88,0,354,708,0,4250,0.15,0.04,1.1,55,55,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
