Food Name,class_name,subclass_name,nova,needs_review,reviewer_note
Lyons Burger Sauce,TABLE SAUCES,BURGER SAUCE,Ultra-processed foods,false,new subclass: BURGER SAUCE
Lyons Greek Light Salad Dressing,TABLE SAUCES,SALAD DRESSING,Ultra-processed foods,false,new subclass: SALAD DRESSING
Lyons Greek Vinaigrette Salad Dressing,TABLE SAUCES,SALAD DRESSING,Ultra-processed foods,false,new subclass: SALAD DRESSING
Lyons Island Salad Dressing,TABLE SAUCES,SALAD DRESSING,Ultra-processed foods,false,new subclass: SALAD DRESSING
Lyons Italian Light Salad Dressing,TABLE SAUCES,SALAD DRESSING,Ultra-processed foods,false,new subclass: SALAD DRESSING
Lyons Italian Vinaigrette Salad Dressing,TABLE SAUCES,SALAD DRESSING,Ultra-processed foods,false,new subclass: SALAD DRESSING
Lyons Salad Cream Salad Dressing,TABLE SAUCES,SALAD DRESSING,Ultra-processed foods,false,new subclass: SALAD DRESSING
Ma Cuisine Classic Tartare Sauce,TABLE SAUCES,OTHER CONDIMENT SAUCE,Ultra-processed foods,false,new subclass: OTHER CONDIMENT SAUCE
Ma Cuisine Mango Chutney,TABLE SAUCES,CHUTNEY,Ultra-processed foods,false,new subclass: CHUTNEY
Ma Cuisine Tomato Chutney,TABLE SAUCES,CHUTNEY,Ultra-processed foods,false,new subclass: CHUTNEY
Maille Dijon Original Mustard,TABLE SAUCES,MUSTARD,Ultra-processed foods,false,new subclass: MUSTARD
MARMITE ORIGINAL,JAM/OTHER SPREADS,YEAST EXTRACT SPREAD,Ultra-processed foods,false,new subclass: YEAST EXTRACT SPREAD
Martini Rose Demisec Sparkling Wine,ALCOHOLIC BEVERAGES,SPARKLING WINE,Ultra-processed foods,false,ALCOHOLIC: sparkling wine — current taxonomy does not cover alcohol
Melinda S Extra Reserve,TABLE SAUCES,CHILLI/HOT SAUCE,Ultra-processed foods,false,web: Melinda's XXXX Reserve = habanero hot sauce
Melvins Herbal Seasoning Mix,HERBS AND SPICES,SPICES - SEASONING BLEND,Unprocessed/Minimally processed foods,false,
Meridian Organic Tahini Dark,JAM/OTHER SPREADS,TAHINI,Ultra-processed foods,false,new subclass: TAHINI
Meridian Organic Tahini Light,JAM/OTHER SPREADS,TAHINI,Ultra-processed foods,false,new subclass: TAHINI
Meridian Tahini Dark,JAM/OTHER SPREADS,TAHINI,Ultra-processed foods,false,new subclass: TAHINI
Miyata Bio Organic Miso Aka Paste,COOKING SAUCES,MISO PASTE,Ultra-processed foods,false,new subclass: MISO PASTE
Miyata Sushi Expert Mirin,COOKING SAUCES,TERIYAKI/MIRIN,Ultra-processed foods,false,new subclass: TERIYAKI/MIRIN
