description,class_name,subclass_name,nova
BRISKETS KITE,RED MEAT,BEEF,Unprocessed/Minimally processed foods
BRITANIA CHOCOLATE CREAM,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
BRITANIA DIGESTIVE BISCUIT OATS,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
BRITANIA DIGESTIVE BISCUIT SUGAR FREE,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
BRITANIA DOT S/BERRY CREAM,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
BRITANIA DOT VANILLA CREAM,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
BRITANIA FAMILY,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
BRITANIA GINGER NUTS BISCUIT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
BRITANIA MARIE,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
BRITANIA MILKY BISCUIT (FOIL),"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
BRITANIA MOTO MOTO,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
BRITANIA NICE,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
BRITANIA S/BERRY CREAM,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
BRITANIA SHORTCAKE,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
BROADWAY WHITE BREAD,BREADS,WHITE BREAD,Ultra-processed foods
BROADWAYS BROWN BREAD,BREADS,BROWN BREAD,Ultra-processed foods
BROADWAYS WHITE BREAD,BREADS,WHITE BREAD,Ultra-processed foods
BROWN BREAD,BREADS,BROWN BREAD,Ultra-processed foods
BROWN BUNS,BUNS/ROLLS,PLAIN BUNS,Ultra-processed foods
BROWN ROLLS,BUNS/ROLLS,PLAIN ROLLS,Ultra-processed foods
BUTALI BROWN SUGAR,SUGAR,BROWN SUGAR,Processed Culinary Ingredients
